Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
176.1387,183.9205,124.8599,6833,-477,0.03959709,20.51307,51.41874,11.33 yds,41.08601,-6.656216,-3.993242,172.6737,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
181.9197,190.5112,127.8928,6922,-181,-0.3340148,17.79972,49.63507,15.97 yds,38.32782,-3.695656,-1.497858,178.4516,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
189.7094,196.9816,135.7687,7412,505,1.841342,19.30975,53.21613,14.65 yds,46.59434,13.70235,3.897696,185.7231,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
185.5451,192.8901,132.2587,7194,465,1.772721,19.83646,52.5289,13.69 yds,45.10725,12.61275,3.698294,181.6307,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
192.897,203.4936,131.6731,5992,-293,-0.4681828,15.20728,46.89257,11.1 yds,35.19133,-6.691192,-2.79945,189.5109,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
189.9735,199.3036,131.9942,6441,202,0.4697307,18.54696,50.98262,20.35 ft,42.23664,4.908575,1.796298,186.3228,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
197.0867,207.5849,134.9859,6204,-270,-0.2092684,15.2247,48.1584,13.87 yds,37.42348,-5.519612,-2.491958,193.3258,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
203.809,214.0159,138.0328,5809,243,0.4900143,16.7613,49.91632,24.33 ft,42.27979,6.56054,2.39538,199.7798,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
209.9491,221.3039,139.1476,5242,-283,-1.423909,15.44143,48.08139,16.53 yds,39.69819,-11.39793,-3.090229,205.955,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
208.9335,221.6426,137.9692,5040,-547,-1.040364,13.99648,45.41816,20.63 yds,35.44033,-15.89341,-6.194166,205.2928,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
209.6836,221.0528,140.2076,5544,-67,-0.1441869,14.93338,48.15791,11.25 yds,39.5783,-1.947417,-0.6923937,205.6699,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
225.5479,236.765,146.9296,4868,110,0.5135425,16.42709,50.21057,19.04 ft,46.55297,4.901135,1.294467,221.0324,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
229.1229,243.1657,146.1451,4356,-167,-0.2758815,12.93423,44.98841,21.17 ft,36.93589,-5.827464,-2.195526,225.0269,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
217.5224,233.6464,141.4627,4793,108,-0.3670302,14.55151,46.84918,20.19 ft,38.69478,1.316086,1.290819,213.5809,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
232.828,240.6174,155.0493,5311,946,1.448487,15.12107,50.7897,38.65 yds,48.22059,30.21517,10.09965,227.9637,0,H3,0,0,0,0,0,0,0,0,0,0,0,0
247.6839,259.8665,157.3949,4443,232,-0.8234479,14.02217,49.01402,13.2 ft,46.35766,3.967177,2.989097,242.634,0,H3,0,0,0,0,0,0,0,0,0,0,0,0
247.5057,259.7084,158.6345,4659,65,0.1930405,13.6572,49.16086,9.34 ft,46.59087,2.841617,0.7993097,242.535,0,H3,0,0,0,0,0,0,0,0,0,0,0,0
244.6259,259.7486,156.3593,4563,95,1.316278,14.5501,49.47279,27.81 ft,47.39446,8.46226,1.192705,239.618,0,H3,0,0,0,0,0,0,0,0,0,0,0,0
266.3208,281.4579,168.1512,4388,114,2.052483,12.25737,48.60601,20.34 yds,47.51303,13.42513,1.488207,260.9341,0,W3,0,0,0,0,0,0,0,0,0,0,0,0
255.4789,285.9578,154.7016,1233,-60,0.6658446,13.17757,24.70001,27.93 ft,21.16511,-0.1740677,-2.785918,254.7159,0,W3,0,0,0,0,0,0,0,0,0,0,0,0
266.1525,283.0492,167.5598,4048,867,-2.682034,10.91458,45.5182,25.6 yds,41.15785,19.34079,12.08896,261.1386,0,W3,0,0,0,0,0,0,0,0,0,0,0,0
259.7603,273.4176,169.5705,5086,364,0.6137162,11.96582,49.78909,27.1 yds,48.80947,14.11482,4.093623,254.1236,0,W3,0,0,0,0,0,0,0,0,0,0,0,0
307.8807,325.9185,175.7728,2669,27,1.717398,15.36514,46.86606,26.89 yds,52.96495,10.66086,0.5795928,302.0257,0,DR,124.4678,-3.499475,3.134997,0,0,0,0,0,0,0,0,1.412195
313.9153,333.61,182.1049,2906,152,-1.976086,13.1174,45.77237,16.49 yds,50.00012,-1.925208,2.99416,307.9153,0,DR,124.0325,-4.402126,2.804526,0,0,0,0,0,0,0,0,1.468202
304.6568,322.4295,179.1379,2946,637,-2.503447,14.86264,48.10382,37.57 yds,53.94285,21.73004,12.20097,298.6369,0,DR,123.6204,-3.500967,3.612805,0,0,0,0,0,0,0,0,1.449097
322.8049,346.9459,180.5516,2199,-19,-2.872102,12.54756,39.25563,19.14 yds,39.90883,-17.18823,-0.4950399,318.1031,0,DR,120.5376,-2.806867,4.335686,0,0,0,0,0,0,0,0,1.497886
313.6548,332.7197,183.7292,3056,144,-2.540349,12.45204,45.93827,18.3 yds,49.55888,-5.66923,2.697806,307.5276,0,DR,0,0,0,0,0,0,0,0,0,0,0,0
